Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21
Page 16,1,1,Princesa Usagi Mimi,Imperador Usagi,#1tmj_07 Guarda Real 1,#1tmj_07 Guarda Real 2,,,,,,,,,,,,,,,,,
Page 17,1,1,Princesa Usagi Mimi,#1tmj_07 Robô Tzk 1,#1tmj_07 Robô Tzk 2,#1tmj_07 Robô Tzk 3,#1tmj_07 Robô Tzk 4,#1tmj_07 Robô Tzk 5,#1tmj_07 Robô Tzk 6,#1tmj_07 Robô Tzk 7,#1tmj_07 Robô Tzk 8,#1tmj_07 Robô Tzk 9,#1tmj_07 Robô Tzk 10,,,,,,,,,,
Page 18,1,1,Princesa Usagi Mimi,Imperador Usagi,#1tmj_07 Figurante 1,#1tmj_07 Figurante 2,#1tmj_07 Figurante 3,#1tmj_07 Figurante 4,#1tmj_07 Figurante 5,#1tmj_07 Figurante 6,,,,,,,,,,,,,
Page 19,1,1,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,,,,,,
Page 20,1,1,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,,,,,,
Page 21,1,1,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,,,,,,
Page 22,1,1,Princesa Usagi Mimi,Imperador Usagi,,,,,,,,,,,,,,,,,,,
Page 23,1,1,Princesa Usagi Mimi,Imperador Usagi,Robô que diz resiliente,,,,,,,,,,,,,,,,,,
Page 24,1,1,Princesa Usagi Mimi,Imperador Usagi,Robô que diz resiliente,,,,,,,,,,,,,,,,,,
Page 25,1,1,Mônica,Robô,#1tmj06 Robô Tzk 1,#1tmj06 Robô Tzk 2,#1tmj06 Robô Tzk 3,#1tmj06 Robô Tzk 4,#1tmj06 Robô Tzk 5,#1tmj06 Robô Tzk 6,#1tmj06 Robô Tzk 7,,,,,,,,,,,,
Page 26,1,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 27,1,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 28,1,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 29,1,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 30,1,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 31,1,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 32,1,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 33,1,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 34,1,1,Mônica,Xabéu,Robô,,,,,,,,,,,,,,,,,,
Page 35,1,1,Xabéu,Astronauta,Robô,Traje de Combate,,,,,,,,,,,,,,,,,
Page 36,1,1,Robô,,,,,,,,,,,,,,,,,,,,
Page 37,1,1,Robô,,,,,,,,,,,,,,,,,,,,
Page 38,1,1,Astronauta,Robô,Traje de Combate,,,,,,,,,,,,,,,,,,
Page 39,1,1,Astronauta,Robô,Traje de Combate,,,,,,,,,,,,,,,,,,
Page 40,1,1,Astronauta,Robô,Traje de Combate,,,,,,,,,,,,,,,,,,
Page 41,1,1,Mônica,Cebolinha,Franjinha,Xabéu,,,,,,,,,,,,,,,,,
Page 42,1,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,Astronauta,Robô,Traje de Combate,,,,,,,,,,,,
Page 43,1,1,Astronauta,Robô,Traje de Combate,,,,,,,,,,,,,,,,,,
Page 44,1,1,Mônica,Cebolinha,Cascão,Xabéu,,,,,,,,,,,,,,,,,
Page 45,1,1,Astronauta,Robô,Traje de Combate,,,,,,,,,,,,,,,,,,
Page 46,2,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 47,2,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 48,2,1,Astronauta,Robô,Traje de Combate,,,,,,,,,,,,,,,,,,
Page 49,2,1,Astronauta,Robô,Traje de Combate,,,,,,,,,,,,,,,,,,
Page 50,2,1,Astronauta,Robô,Traje de Combate,,,,,,,,,,,,,,,,,,
Page 51,2,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,,,,,,,,,,,,,,,
Page 52,2,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,Astronauta,Traje de Combate,,,,,,,,,,,,,
Page 53,2,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,Astronauta,Robô,Traje de Combate,,,,,,,,,,,,
Page 54,2,1,Cebolinha,Xabéu,,,,,,,,,,,,,,,,,,,
Page 55,2,1,Cebolinha,Xabéu,,,,,,,,,,,,,,,,,,,
Page 56,2,1,Cebolinha,Xabéu,,,,,,,,,,,,,,,,,,,
Page 57,2,1,Cebolinha,Xabéu,#1tmj_07 Figurante 7,#1tmj_07 Figurante 8,,,,,,,,,,,,,,,,,
Page 58,2,1,Cebolinha,Cascão,Xabéu,,,,,,,,,,,,,,,,,,
Page 59,2,1,Cebolinha,Cascão,Xabéu,Astronauta,,,,,,,,,,,,,,,,,
Page 60,2,1,Cebolinha,Cascão,Xabéu,Astronauta,,,,,,,,,,,,,,,,,
Page 61,2,1,Cebolinha,Cascão,Astronauta,,,,,,,,,,,,,,,,,,
Page 62,2,1,Cebolinha,Cascão,Xabéu,Astronauta,,,,,,,,,,,,,,,,,
Page 63,2,1,Astronauta,,,,,,,,,,,,,,,,,,,,
Page 64,2,1,Robô,#1tmj_07 Robô Pulsar 1,#1tmj_07 Guerreiro Robô 1,#1tmj_07 Guerreiro Robô 2,#1tmj_07 Guerreiro Robô 3,#1tmj_07 Guerreiro Robô 4,#1tmj_07 Guerreiro Robô 5,#1tmj_07 Guerreiro Robô 6,#1tmj_07 Guerreiro Robô 7,#1tmj_07 Guerreiro Robô 8,#1tmj_07 Guerreiro Robô 9,#1tmj_07 Guerreiro Robô 10,,,,,,,,,
Page 65,2,1,Cebolinha,Cascão,Xabéu,Astronauta,,,,,,,,,,,,,,,,,
Page 66,2,1,#1tmj_07 Figurante 9,#1tmj_07 Figurante 10,#1tmj_07 Figurante 11,#1tmj_07 Figurante 12,#1tmj_07 Figurante 13,#1tmj_07 Sombra 1,#1tmj_07 Sombra 2,#1tmj_07 Sombra 3,#1tmj_07 Sombra 4,#1tmj_07 Sombra 5,#1tmj_07 Sombra 6,#1tmj_07 Sombra 7,#1tmj_07 Sombra 8,#1tmj_07 Sombra 9,#1tmj_07 Sombra 10,,,,,,
Page 67,3,1,Mônica,Magali,Robô,#1tmj_07 Figurante 14,#1tmj_07 Figurante 15,,,,,,,,,,,,,,,,
Page 68,3,1,Mônica,Magali,Robô,#1tmj_07 Figurante 16,#1tmj_07 Figurante 17,#1tmj_07 Figurante 18,#1tmj_07 Figurante 19,,,,,,,,,,,,,,
Page 69,3,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 70,3,1,Mônica,Magali,Robô,,,,,,,,,,,,,,,,,,
Page 71,3,1,Mônica,Magali,Robô,,,,,,,,,,,,,,,,,,
Page 72,3,1,Mônica,Magali,Robô,,,,,,,,,,,,,,,,,,
Page 73,3,1,Mônica,Magali,Robô,,,,,,,,,,,,,,,,,,
Page 74,3,1,Mônica,Magali,Robô,#1tmj_07 Figurante 20,#1tmj_07 Figurante 21,#1tmj_07 Sombra 11,#1tmj_07 Sombra 12,#1tmj_07 Sombra 13,,,,,,,,,,,,,
Page 75,3,1,Mônica,Magali,Robô,,,,,,,,,,,,,,,,,,
Page 76,3,1,Mônica,Magali,Robô,,,,,,,,,,,,,,,,,,
Page 77,3,1,Mônica,Magali,Robô,,,,,,,,,,,,,,,,,,
Page 78,3,1,Mônica,Magali,Robô,,,,,,,,,,,,,,,,,,
Page 79,3,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 80,3,1,Mônica,Cebolinha,Magali,Cascão,Zé Luís,Xabéu,Astronauta,Robô,#1tmj_07 Sombra 14,#1tmj_07 Sombra 15,#1tmj_07 Sombra 16,#1tmj_07 Sombra 17,#1tmj_07 Sombra 18,#1tmj_07 Sombra 19,#1tmj_07 Sombra 20,#1tmj_07 Sombra 21,#1tmj_07 Sombra 22,#1tmj_07 Sombra 23,,,
Page 81,3,1,Franjinha,Astronauta,Traje de Combate,,,,,,,,,,,,,,,,,,
Page 82,3,1,Franjinha,Astronauta,Traje de Combate,,,,,,,,,,,,,,,,,,
Page 83,3,1,Franjinha,Astronauta,,,,,,,,,,,,,,,,,,,
Page 84,3,1,Franjinha,Astronauta,,,,,,,,,,,,,,,,,,,
Page 85.1,3,0.5,Franjinha,Astronauta,,,,,,,,,,,,,,,,,,,
Page 85.2,3,0.5,Franjinha,Traje de Combate,#1tmj_07 Monstro Alien 1,,,,,,,,,,,,,,,,,,
Page 86,3,1,Franjinha,Astronauta,,,,,,,,,,,,,,,,,,,
Page 87,3,1,Franjinha,Astronauta,Traje de Combate,,,,,,,,,,,,,,,,,,
Page 88,3,1,Franjinha,Zé Luís,Astronauta,Princesa Usagi Mimi,#1tmj_07 Figurante 22,#1tmj_07 Figurante 23,#1tmj_07 Figurante 24,#1tmj_07 Figurante 25,#1tmj_07 Figurante 26,,,,,,,,,,,,
Page 89,3,1,Mônica,Cebolinha,Magali,Cascão,Xabéu,Princesa Usagi Mimi,Robô,,,,,,,,,,,,,,
Page 90,3,1,,,,,,,,,,,,,,,,,,,,,
Page 91,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,Robô,,,,,,,,,,,,
Page 92,3,1,,,,,,,,,,,,,,,,,,,,,
Page 93,3,1,,,,,,,,,,,,,,,,,,,,,
Page 94,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,Astronauta,Robô,,,,,,,,,,,,,
Page 95,3,1,Mônica,Magali,Franjinha,Zé Luís,Astronauta,Robô,,,,,,,,,,,,,,,
Page 96,3,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,,,,,
Page 97,3,1,Princesa Usagi Mimi,,,,,,,,,,,,,,,,,,,,
Page 98,3,1,Cascão,Astronauta,Princesa Usagi Mimi,,,,,,,,,,,,,,,,,,
Page 99,3,1,Cebolinha,Cascão,Franjinha,Xabéu,Princesa Usagi Mimi,,,,,,,,,,,,,,,,
Page 100.1,3,0.5,Xabéu,#1tmj06 Robô Tzk 1,#1tmj06 Robô Tzk 2,#1tmj06 Robô Tzk 3,#1tmj06 Robô Tzk 4,#1tmj06 Robô Tzk 5,,,,,,,,,,,,,,,
Page 100.2,3,0.5,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,,,,,,,,,,,,,,
Page 101,3,1,Mônica,,,,,,,,,,,,,,,,,,,,
Page 102,3,1,Zé Luís,Astronauta,#1tmj_07 Guerreiro Robô 11,#1tmj_07 Guerreiro Robô 12,,,,,,,,,,,,,,,,,
Page 103,3,1,#1tmj_07 Figurante 27,#1tmj_07 Sombra 24,#1tmj_07 Sombra 25,#1tmj_07 Sombra 26,#1tmj_07 Sombra 27,#1tmj_07 Sombra 28,#1tmj_07 Sombra 29,#1tmj_07 Sombra 30,#1tmj_07 Sombra 31,#1tmj_07 Sombra 32,#1tmj_07 Sombra 33,#1tmj_07 Guerreiro Robô 13,#1tmj_07 Guerreiro Robô 14,#1tmj_07 Guerreiro Robô 15,#1tmj_07 Guerreiro Robô 16,#1tmj_07 Guerreiro Robô 17,#1tmj_07 Guerreiro Robô 18,#1tmj_07 Guerreiro Robô 19,#1tmj_07 Guerreiro Robô 20,#1tmj_07 Guerreiro Robô 21,#1tmj_07 Guerreiro Robô 22
Page 104,3,1,Mônica,Astronauta,,,,,,,,,,,,,,,,,,,
Page 105,3,1,Mônica,Princesa Usagi Mimi,Robô,#1tmj_07 Guerreiro Robô 11,#1tmj_07 Guerreiro Robô 12,,,,,,,,,,,,,,,,
Page 106,3,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 107,3,1,Mônica,Cebolinha,Magali,Astronauta,Robô,,,,,,,,,,,,,,,,
Page 108,3,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 109,3,1,Mônica,Cebolinha,Magali,Cascão,Robô,,,,,,,,,,,,,,,,
Page 110,3,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 111,3,1,Mônica,Robô,,,,,,,,,,,,,,,,,,,
Page 112,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,Robô,,,,,,,,,,,,
Page 113,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,Astronauta,Princesa Usagi Mimi,Robô,,,,,,,,,,,,
Page 114,3,1,Mônica,Cebolinha,Xabéu,#1tmj_07 Guerreiro Robô 11,#1tmj_07 Guerreiro Robô 12,,,,,,,,,,,,,,,,
Page 115,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Xabéu,Astronauta,#1tmj_07 Guerreiro Robô 11,#1tmj_07 Guerreiro Robô 12,,,,,,,,,,,,
Page 116,3,1,Mônica,Cebolinha,,,,,,,,,,,,,,,,,,,
Page 117,3,1,Cebolinha,Robô,,,,,,,,,,,,,,,,,,,
Page 118,3,1,Franjinha,Astronauta,#1tmj_07 Guerreiro Robô 11,#1tmj_07 Guerreiro Robô 12,,,,,,,,,,,,,,,,,
Page 119,3,1,Mônica,#1tmj_07 Robô Tzk 11,,,,,,,,,,,,,,,,,,,
Page 120,3,1,Mônica,#1tmj_07 Robô Tzk 11,#1tmj_07 Robô Tzk 12,#1tmj_07 Robô Tzk 13,,,,,,,,,,,,,,,,,
Page 121,3,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,,,,,
Page 122,3,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,,,,,
Page 123,3,1,Mônica,Princesa Usagi Mimi,,,,,,,,,,,,,,,,,,,
Page 124,3,1,Mônica,Cebolinha,Magali,Cascão,Franjinha,Zé Luís,Xabéu,Astronauta,Princesa Usagi Mimi,Robô,,,,,,,,,,,
Page 125,3,1,Princesa Usagi Mimi,Lorde Kamen,#1tmj_07 Alien 1,,,,,,,,,,,,,,,,,,
Page 126,3,1,Lorde Kamen,#1tmj_07 Alien 1,,,,,,,,,,,,,,,,,,,
Page 127,,,,,,,,,,,,,,,,,,,,,,,
Page 128,,,,,,,,,,,,,,,,,,,,,,,
Page 129,,,,,,,,,,,,,,,,,,,,,,,
Page 130,,,,,,,,,,,,,,,,,,,,,,,
Page 131,,,,,,,,,,,,,,,,,,,,,,,
Page 132,,1,Vanda,Valéria,,,,,,,,,,,,,,,,,,,
