Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22,Character 23
Page 22,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 23,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 24,1,1,Chico Bento,Espírito do Milharal,#tdm16 Figurante 1,,,,,,,,,,,,,,,,,,,,
Page 25,1,1,Chico Bento,Espírito do Milharal,#tdm16 Figurante 2,,,,,,,,,,,,,,,,,,,,
Page 26,1,1,Chico Bento,Espírito do Milharal,,,,,,,,,,,,,,,,,,,,,
Page 27,1,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 28,1,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 29,,,,,,,,,,,,,,,,,,,,,,,,,
Page 30,2,1,Bidu,,,,,,,,,,,,,,,,,,,,,,
Page 31,2,1,Bidu,Duque,Zé Gordão,#tdm16 Animal 10,,,,,,,,,,,,,,,,,,,
Page 32,2,1,Bidu,Duque,Zé Gordão,#tdm16 Animal 10,,,,,,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,,,,,,,,,
Page 37,3,1,Dorinha,Mãe da Dorinha,,,,,,,,,,,,,,,,,,,,,
Page 38,3,1,Dorinha,Mãe da Dorinha,,,,,,,,,,,,,,,,,,,,,
Page 39,3,1,Dorinha,Mãe da Dorinha,Magali,Dona Lili,,,,,,,,,,,,,,,,,,,
Page 40,4,1,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 41,4,1,Cascão,,,,,,,,,,,,,,,,,,,,,,
Page 42,5,1,Magali,Mingau,,,,,,,,,,,,,,,,,,,,,
Page 43,5,1,Magali,Mingau,,,,,,,,,,,,,,,,,,,,,
Page 44,6,1,Papa-Capim,Cafuné,#tdm16 Figurante 3,,,,,,,,,,,,,,,,,,,,
Page 45,6,1,#tdm16 Figurante 3,Jurema, Indiazinha 1, Índio, Índia,#tdm16 Figurante 4, Indiazinha 2, Indiazinha 3,,,,,,,,,,,,,,,
Page 46,,,,,,,,,,,,,,,,,,,,,,,,,
Page 47,7,1,Cascão,Cebolinha,Do Contra,,,,,,,,,,,,,,,,,,,,
Page 48,8,1,Frank,#tdm16 Figurante 5,#tdm16 Figurante 6,#tdm16 Animal 11,,,,,,,,,,,,,,,,,,,
Page 49,8,1,Frank,#tdm16 Figurante 6,#tdm16 Figurante 5,#tdm16 Animal 12,,,,,,,,,,,,,,,,,,,
Page 50,8,1,Frank,#tdm16 Figurante 7,Penadinho,,,,,,,,,,,,,,,,,,,,
Page 51,8,1,Frank,#tdm16 Figurante 7,Penadinho,,,,,,,,,,,,,,,,,,,,
Page 52,8,1,Frank,#tdm16 Figurante 8,Zé Vampir,,,,,,,,,,,,,,,,,,,,
Page 53,8,1,Frank,#tdm16 Figurante 8,Zé Vampir,Lobi,#tdm16 Figurante 9,,,,,,,,,,,,,,,,,,
Page 54,8,1,Frank,#tdm16 Figurante 9,Lobi,,,,,,,,,,,,,,,,,,,,
Page 55,8,1,Frank,#tdm16 Figurante 10,#tdm16 Figurante 11,Cranicóla,Zé Caveirinha,Muminho,,,,,,,,,,,,,,,,,
Page 56,8,1,Frank,#tdm16 Figurante 11,#tdm16 Figurante 10,#tdm16 Figurante 12,#tdm16 Figurante 13,,,,,,,,,,,,,,,,,,
Page 57,8,1,Frank,#tdm16 Figurante 14,#tdm16 Figurante 15,#tdm16 Figurante 16,#tdm16 Figurante 17,#tdm16 Figurante 18,,,,,,,,,,,,,,,,,
Page 58,,,,,,,,,,,,,,,,,,,,,,,,,
Page 59,9,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 60,9,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 61,9,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 62,9,1,Chico Bento,Nhô Lau,,,,,,,,,,,,,,,,,,,,,
Page 63,9,1,Chico Bento,Nhô Lau,#tdm16 Animal 13,,,,,,,,,,,,,,,,,,,,
Page 64,9,1,Chico Bento,Nhô Lau,#tdm16 Figurante 19,#tdm16 Figurante 20,,,,,,,,,,,,,,,,,,,
Page 65,9,1,Chico Bento,Nhô Lau,#tdm16 Figurante 20,#tdm16 Figurante 19,,,,,,,,,,,,,,,,,,,
Page 66,10,1,Cranicóla, Fantasminha,,,,,,,,,,,,,,,,,,,,,
