Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15
Page 19,1,1,Mônica,Cascão,Cebolinha,#tdm10 Criança 9,#tdm10 Criança 10,#tdm10 Criança 11,#tdm10 Sombra 16,#tdm10 Sombra 17,#tdm10 Sombra 18,#tdm10 Sombra 19,#tdm10 Sombra 20,#tdm10 Sombra 21,#tdm10 Sombra 22,#tdm10 Sombra 23,#tdm10 Sombra 24
Page 20,1,1,Sansão,Cascão,Cebolinha,Mônica,#tdm10 Sombra 25,,,,,,,,,,
Page 21,1,1,Sansão,Cascão,Cebolinha,Mônica,,,,,,,,,,,
Page 22,1,1,Sansão,Cascão,Cebolinha,Mônica,#tdm10 Sombra 26,#tdm10 Sombra 27,,,,,,,,,
Page 23,1,1,Sansão,Cascão,Cebolinha,Mônica,#tdm10 Sombra 28,#tdm10 Sombra 29,#tdm10 Sombra 30,#tdm10 Sombra 31,#tdm10 Sombra 32,#tdm10 Sombra 33,,,,,
Page 24,2,1,Chico Bento,#tdm10 Criança 12,#tdm10 Animal 1,Giselda,Mimosa,Torresmo,#tdm10 Animal 2,Onça,#tdm10 Animal 3,#tdm10 Animal 4,#tdm10 Animal 5,#tdm10 Animal 6,,,
Page 25,,,,,,,,,,,,,,,,,
Page 26,3,1,Bidu,Zé Esquecido,,,,,,,,,,,,,
Page 27,3,1,Bidu,Zé Esquecido,,,,,,,,,,,,,
Page 28,3,1,Zé Esquecido,#tdm10 Criança 13,,,,,,,,,,,,,
Page 29,3,1,Zé Esquecido,#tdm10 Animal 7,,,,,,,,,,,,,
Page 30,3,1,Zé Esquecido,#tdm10 Animal 7,Bidu,,,,,,,,,,,,
Page 31,3,1,Zé Esquecido,Bidu,Duque,,,,,,,,,,,,
Page 32,4,1,Cranicóla,,,,,,,,,,,,,,
Page 33,,,,,,,,,,,,,,,,,
Page 34,,,,,,,,,,,,,,,,,
Page 35,,,,,,,,,,,,,,,,,
Page 36,,,,,,,,,,,,,,,,,
Page 37,,,,,,,,,,,,,,,,,
Page 38,5,1,Zé Vampir,#tdm10 Mulher 1,,,,,,,,,,,,,
Page 39,5,1,Penadinho,Zé Vampir,#tdm10 Mulher 1,,,,,,,,,,,,
Page 40,5,1,Penadinho,Zé Vampir,,,,,,,,,,,,,
Page 41,5,1,Penadinho,Zé Vampir,,,,,,,,,,,,,
Page 42,5,1,Penadinho,Zé Vampir,,,,,,,,,,,,,
Page 43,5,1,Penadinho,Zé Vampir,Muminho,,,,,,,,,,,,
Page 44,5,1,Penadinho,Zé Vampir,Muminho,Frank,,,,,,,,,,,
Page 45,5,1,Frank,Penadinho,Zé Vampir,Lobi,,,,,,,,,,,
Page 46,5,1,Penadinho,Zé Vampir,,,,,,,,,,,,,
Page 47,5,1,Penadinho,Zé Caveirinha,Zé Vampir,#tdm10 Mulher 2,,,,,,,,,,,
Page 48,6,1,Marina,Jeremias,Tia do Jeremias,#tdm10 Mulher 3,,,,,,,,,,,
Page 49,6,1,Marina,Tia do Jeremias,Magali,Titi,Xaveco,,,,,,,,,,
Page 50,6,1,Magali,Titi,Xaveco,Cebolinha,,,,,,,,,,,
Page 51,6,1,Cebolinha,Humberto,Sansão,,,,,,,,,,,,
Page 52,6,1,Mônica,Sansão,Cebolinha,Tia do Jeremias,Titi,Marina,,,,,,,,,
Page 53,,,,,,,,,,,,,,,,,
Page 54,7,1,#tdm10 Homem 1,#tdm10 Criança 14,,,,,,,,,,,,,
Page 55,7,1,#tdm10 Mulher 4,#tdm10 Homem 2,#tdm10 Figurante 3,#tdm10 Criança 15,#tdm10 Criança 16,#tdm10 Animal 8,#tdm10 Figurante 4,#tdm10 Figurante 5,#tdm10 Pai 1,#tdm10 Criança 17,Dona Morte,,,,
Page 56,8,1,Cebolinha,Cascão,Seu Cebola,,,,,,,,,,,,
Page 57,8,1,Cebolinha,Cascão,Seu Cebola,,,,,,,,,,,,
Page 58,8,1,Cebolinha,Cascão,,,,,,,,,,,,,
Page 59,8,1,Cebolinha,Cascão,Homem de Chumbo,Zing Mascarado,Dona Cebola,,,,,,,,,,
Page 60,8,1,Cebolinha,Cascão,Dona Cebola,,,,,,,,,,,,
Page 61,8,1,Cebolinha,Cascão,Homem de Chumbo,Zing Mascarado,Dona Cebola,,,,,,,,,,
Page 62,8,1,Cebolinha,Cascão,Homem de Chumbo,Zing Mascarado,,,,,,,,,,,
Page 63,8,1,Cebolinha,Cascão,Homem de Chumbo,Zing Mascarado,,,,,,,,,,,
Page 64,8,1,Cebolinha,Cascão,Homem de Chumbo,Zing Mascarado,,,,,,,,,,,
Page 65,8,1,Cebolinha,Cascão,Seu Cebola,Dona Cebola,,,,,,,,,,,
Page 66,9,1,Cebolinha,Xaveco,Cascão,,,,,,,,,,,,
